Real GDP growth (Annual percent change);1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Mongolia;6,4;8,4;8,3;5,8;5,9;5,7;9,4;3,5;5,1;4,2;-2,5;-9,2;-9,3;-3,2;2,1;6,4;2,2;3,9;3,3;3,1;1,1;4,6;5,3;7,4;9,4;6,5;8,2;8,8;7,8;-2,1;7,3;17,3;12,3;11,6;7,9;2,4;1,2;5,3;7,2;5,1;-2;6;5,5;5;5;4,5
Montenegro;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1,1;1,9;2,5;4,4;4,2;8,6;6,8;7,2;-5,8;2,7;3,2;-2,7;3,5;1,8;3,4;2,9;4,7;5,1;3,6;-12;5,5;4,2;3,1;3;3
Morocco;3,8;-2,8;9,6;-0,6;4,3;6,3;8,3;-2,5;10,4;2,4;4;7,2;-2,1;-0,7;10,6;-5,4;12,4;-1,6;7,2;1,1;1,9;7,3;3,1;6;4,8;3,3;7,6;3,5;5,9;4,2;3,8;5,2;3;4,5;2,7;4,5;1;4,2;3;2,2;-7;4,9;3,5;3,6;3,7;3,7
Mozambique;4,2;5;-6,9;-15,7;-6,5;1;-2,3;14,7;8,2;6,5;1;6,6;-6,1;10,6;6,5;2,3;11,2;11,3;9,9;11,7;1,2;12,1;9,3;6,9;7,9;6,6;9,7;7,7;7,3;6,3;6,5;7,4;7,3;7;7,4;6,7;3,8;3,7;3,4;2,3;-0,5;2,1;4,7;8,6;11;11,2
Myanmar;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;8,4;12,4;12,5;9,9;13,2;15,3;13,6;13,3;12,5;7,6;4,4;5,2;5,5;6,5;7,9;8,2;7,5;6,4;5,8;6,4;6,5;2;5,7;6,2;6,4;6,5;6,5
Namibia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;5,3;9,3;-1,6;3;4,1;3,2;4,2;3,3;3,4;3,5;2,4;6,7;3,5;6,6;4,7;3,9;3,6;2,6;0,3;6;5,1;5,1;5,6;5,8;4,5;-0,3;-0,3;0,7;-1;-5,9;3,4;3,6;3,2;2,7;2,7
Nauru;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;-0,4;8,3;-22,2;20,4;9,1;11,1;10,8;10,4;31;27,2;3,4;3;-5,5;5,7;1;0,7;1,3;0,9;0,8;0,6;0,5
Nepal;-2,3;8,3;3,8;-3;9,7;6,1;4,6;1,7;7,7;4,3;4,6;6,4;4,1;3,8;8,2;3,5;5,3;5,3;2,9;4,5;6,1;5,6;0,1;3,9;4,7;3,5;3,4;3,4;6,1;4,5;4,8;3,4;4,8;4,1;6;3,3;0,6;8,2;6,7;7,1;0;2,5;6;5,2;5;5
Netherlands;no data;-0,5;-1,3;1,8;3,1;2,7;3,1;1,9;4,6;4,5;4,2;2,5;1,6;1,3;3;2,8;3,5;4,3;4,7;5;4,2;2,3;0,2;0,2;2;2;3,5;3,8;2,2;-3,7;1,3;1,5;-1;-0,1;1,4;2;2,2;2,9;2,4;1,7;-5,4;4;2;1,7;1,5;1,5
New Zealand;1;3;2,9;-0,1;6,9;1,2;1,8;2,4;0,6;1,5;1,1;-2,2;0,9;4,9;6,7;4,3;3,7;3;0,8;4,5;4,1;2,2;5,1;4,6;4,4;2,6;2,7;4;-0,4;0,3;2;1,9;2,5;2,2;3,2;4,1;4,2;3,8;3,2;2,2;-6,1;4,4;2,6;2,6;2,5;2,5
Nicaragua;4,6;5,4;-0,8;4,6;-1,6;-4,1;-1;-0,7;-12,4;-1,7;-0,1;-0,2;0,4;-0,4;5;5,9;6,3;4;3,7;7;4,1;3;0,8;2,5;5,3;4,3;3,8;5,1;3,4;-3,3;4,4;6,3;6,5;4,9;4,8;4,8;4,6;4,6;-4;-3,9;-5,5;-0,5;2,7;2;1,8;2,1
Niger;4,9;-0,2;2,2;-3,9;-16,8;7,7;6,4;0,1;6,9;1;-1,3;-0,4;2;0,3;1,9;2,5;0,1;1,5;10;-0,2;-1,2;7,3;4,9;2,2;0,4;7,3;5,9;3,1;7,7;2;8,6;2,4;10,5;5,3;6,6;4,4;5,7;5;7,2;5,9;0,5;6,9;12,8;11,4;6,6;6
Nigeria;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;-0,6;2,2;1,6;0,3;1,9;4,1;2,9;2,5;0,5;5,5;6,7;14,6;9,5;10,4;7;6,7;7,3;7,2;8,4;11,3;4,9;4,3;5,4;6,3;2,7;-1,6;0,8;1,9;2,2;-4,3;1,7;2,5;2,5;2,5;2,5
North Macedonia ;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;-7,5;-1,8;-1,1;1,2;1,4;3,4;4,3;4,5;-3,1;1,5;2,2;4,7;4,7;5,1;6,5;5,5;-0,4;3,4;2,3;-0,5;2,9;3,6;3,9;2,8;1,1;2,7;3,6;-5,4;5,5;4,5;4;3,8;3,5
Norway;4,5;1,6;0,2;4;6,1;5,6;4;1,8;-0,3;1;1,9;3,1;3,6;2,8;5,1;4,2;5;5,3;2,6;2;3,2;2,1;1,4;0,9;4;2,6;2,4;3;0,5;-1,7;0,7;1;2,7;1;2;2;1,1;2,3;1,3;1,2;-2,8;3,6;3;2,3;1,8;1,8
Oman;6,1;17,1;11,5;15,9;13,9;14,5;2,1;-4;5,2;3;8,4;6;8,5;6,1;3,8;4,8;2,9;6,2;2,7;0,3;6,5;4,5;-1,1;-2,7;1,3;2,5;5,4;4,5;8,2;6,1;2;2,6;9,1;5,1;1,4;4,7;4,9;0,3;0,9;-0,8;-10;-0,5;11;3,5;3,5;3,1
Pakistan;6,9;6,2;7,6;6,8;4;8,7;6,4;5,8;6,4;4,8;4,6;5,1;7,6;2,1;4,4;5,1;6,6;1,7;3,5;4,2;3,9;2;3,1;4,7;7,5;9;5,8;5,5;5;0,4;2,6;3,6;3,8;3,7;4,1;4,1;4,6;5,2;5,5;1,9;-0,4;1;4;4,5;5;5
Palau;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;6,4;3,6;-3,3;4,9;4;-0,4;1;-5,4;-5,9;0,1;5,1;1,6;-1,7;6;5;-0,4;-2;5,8;-1,8;-11,4;-7,4;10,3;11,9;1,8;2
Panama;4,5;9,2;5,3;-4,5;2,7;4,9;3,6;-1,8;-13,4;1,6;8,1;9,4;8,2;5,5;2,8;1,8;7,4;6,5;7,3;3,9;2,7;0,6;2,2;4,2;7,5;7,2;8,5;12,1;9,9;1,2;5,8;11,3;9,8;6,9;5,1;5,7;5;5,6;3,7;3;-9;4;5;5;5;5
Papua New Guinea;-2,3;1,1;0,8;3,4;-1;3,6;5,7;2,8;2,9;-1,4;-3,1;9,6;13,8;13,3;10,5;-3,4;6,6;-6,3;4,7;1,9;-2,5;-0,1;-0,2;9;0,6;4,3;2,5;7,8;-0,3;6,8;10,1;1,1;4,7;3,8;13,5;9,5;4,1;3,5;-0,8;4,9;-3,3;1,2;2,9;3;2,8;3,2
Paraguay;11,7;9,2;-1,4;-3;2,8;3,9;0,3;4,1;5,9;5,8;4,1;3,5;1,7;4,9;5,3;6,8;1,6;4,2;0,1;-1,4;-2,3;-0,8;0;4,3;4,1;2,1;4,8;5,4;6,4;-0,3;11,1;4,2;-0,5;8,4;4,9;3,1;4,3;5;3,4;0;-4;5,5;5;4,2;4,1;4
Peru;7,7;5,5;-0,3;-9,3;3,8;2,1;12,1;7,7;-9,4;-13,4;-5,1;2,2;-0,5;5,2;12,3;7,4;2,8;6,5;-0,4;1,5;2,7;0,6;5,5;4,2;5;6,3;7,5;8,5;9,1;1;8,5;6,5;6;5,8;2,4;3,3;4,1;2,5;4;2,2;-13,9;7,3;5;4,9;3,9;3,8
Philippines;5,1;3,4;3,6;1,9;-7,3;-7,3;3,4;4,3;6,8;6,2;3;-0,4;0,4;2,1;4,2;4,5;5,8;5,1;-0,6;3,3;3,9;3;3,7;5,1;6,6;4,9;5,3;6,5;4,3;1,4;7,3;3,9;6,9;6,8;6,3;6,3;7,1;6,9;6,3;6;-8,3;7,4;6,4;6,5;6,5;6,5
Poland;-6;-10;-4,8;5,6;-0,4;3,9;3,5;2,3;3,3;3,8;-7,2;-7;2;4,3;5,2;6,7;6,2;7,1;5;4,5;4,3;1,2;1,4;3,6;5,1;3,5;6,2;7;4,2;2,8;3,6;5;1,6;1,4;3,3;3,8;3,1;4,9;5,3;4,1;-3,6;4,6;4,5;3,7;2,9;2,4
Portugal;6,7;3,5;2,2;1;-1;1,6;3,3;7,6;5,3;6,6;7,9;3,4;3,1;-0,7;1,5;2,3;3,5;4,4;4,8;3,9;3,8;1,9;0,8;-0,9;1,8;0,8;1,6;2,5;0,3;-3,1;1,7;-1,7;-4,1;-0,9;0,8;1,8;2;3,5;2,6;2,2;-10;6,5;4,8;2,9;2;1,7
Puerto Rico;no data;1,1;-3;0,5;7,3;2,1;8,2;4,9;6,5;4,9;3,8;2,3;4,6;4,6;4,2;4,5;2,3;4,9;6,5;4,4;3,3;9,5;2,2;2,3;2;-2;-1,4;-1,2;-1,8;-2;-0,4;-0,4;0;-0,3;-1,2;-1;-1,3;-2,7;-4,9;2;-7,5;1,5;0,7;0;-0,3;-0,3
Qatar;-1;-3,9;-8,2;-5,3;16;-13;3,7;0,9;4,7;5,3;-14,6;-1,5;10,4;-0,9;1,9;0,4;4,2;27,7;10,3;3,8;6,9;4,5;6,9;4;19,2;7,8;28,1;18,2;17,5;13,1;17,7;11,3;4,7;5,6;5,3;4,8;3,1;-1,5;1,2;0,8;-4,5;2,5;3,9;2;2,6;2,5
Romania;3,3;0,1;3,9;6;6;-0,1;2,4;0,8;-0,5;-5,8;-5,6;-12,9;-8,8;1,5;3,9;7,1;3,9;-6,1;-4,8;-1,2;2,9;5,2;5,7;2,3;10,4;4,7;8;7,2;9,3;-5,5;-3,9;2;2,1;3,5;3,4;3,9;4,8;7,1;4,4;4,1;-4,8;4,6;3,9;3,8;3,6;3,5
Russian Federation;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;-5;-14,5;-8,7;-12,7;-4,1;-3,6;1,4;-5,3;6,4;10;5,1;4,7;7,3;7,2;6,4;8,2;8,5;5,2;-7,8;4,5;5,1;4;1,8;0,7;-2;0,2;1,8;2,5;1,3;-4,1;2,8;2,3;2,1;2;1,8
Rwanda;-3,6;2,5;-2,5;6;13;4,4;5,5;-0,3;0,3;-5,7;0,4;-4,3;6,6;-10,4;-41,9;24,5;11,6;14,9;8,3;3,3;12,4;5,9;12,8;-2,9;7,7;9,4;15;7;1,7;8,6;6;9;8,6;5,9;7,8;8,9;6;4;8,6;9,4;2;6,3;8;8,6;7,1;6,1
Saint Kitts and Nevis;1,3;2,7;6,1;-2,1;9,7;6,4;8,8;8,3;10,4;6;5,5;2,3;3,1;5,4;5,4;3,5;5,9;7,3;1;3,9;9,7;5,3;1,4;-3,9;4;9,7;3,2;0,6;6,1;-4;-0,6;1,8;-2,2;5,4;6,3;1;2,8;-2;2,9;2,8;-18,7;8;6,2;4,7;2,7;2,7
Saint Lucia;-0,5;5,1;2,1;4,1;8;12,6;14,4;3,9;13,9;9;9,9;0,4;8;0,6;1,6;1,7;2,9;-0,7;6,3;2,7;0;-3,4;0,4;4,3;7,3;-0,4;6,2;1,9;4,9;-1,8;0,5;4,8;-0,3;-2,2;1,3;-0,2;3,8;3,5;2,6;1,7;-16,9;7,2;5,9;4,6;1,8;1,8
Saint Vincent and the Grenadines;2,9;3,9;2,6;3,2;5,3;4,3;5,4;0,6;13,2;3,3;4,8;2,2;7,1;3,6;-1,2;6,8;1,1;3,7;4,5;2,1;1,8;1,7;6,3;7,7;4,2;2,5;7,7;3,3;1,6;-2,1;-3,4;-0,4;1,4;1,8;1,2;1,3;1,9;1;2,2;0,4;-7;3,7;3,6;3,6;2,7;2,7
Samoa;-6,1;-9,1;-1;0,5;2;5,8;4,8;0,5;2,9;5,8;-6,4;-2,4;4,1;1,7;6,4;6,6;7,3;0,8;1,1;-0,6;5,1;7,4;5,7;5,2;3,1;6,6;2,1;0,5;3,6;-0,5;2,6;4,2;-4,1;-0,4;0,1;4,3;8,1;1;-2,2;3,5;-5;-1,5;2,7;2,2;2,2;2,2
San Marino;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;7,5;9;2,2;5,5;0,3;3,9;4,6;2,4;3,8;7,1;-0,4;-10,1;-5,8;-8,5;-7,2;-0,8;-0,7;2,7;2,3;0,4;1,7;1,1;-11;5,7;2,9;1,4;0,6;0,5
Saudi Arabia;5,7;1,9;-20,7;-16,1;-4,7;-9,8;17;-6,6;13,1;-0,5;15,2;15;4;-1,4;0,6;0,2;2,6;1,1;2,9;-3,8;5,6;-1,2;-2,8;11,2;8;5,6;2,8;1,8;6,2;-2,1;5;10;5,4;2,7;3,7;4,1;1,7;-0,7;2,4;0,3;-5,4;3,1;3,4;2,5;2,6;2,6
Senegal;-0,8;5,1;7,8;-5,3;3,7;3,3;3,1;6,1;-0,6;4;-0,7;2,6;1,2;1,3;0;5,4;2;3,1;5,9;6,3;3,2;4,6;0,7;6,7;5,9;5,6;2,5;4,9;4,1;2,1;3,6;1,5;5,1;2,8;6,6;6,4;6,4;7,4;6,4;5,3;-0,7;5,2;6;12,4;8,1;6
Serbia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;2,4;-12,1;7,8;5;7,1;4,4;9;10,2;5,1;6,4;5,7;-2,7;0,7;2;-0,7;2,9;-1,6;1,8;3,3;2;4,4;4,2;-2,5;5,5;6;4,5;4;4
Seychelles;-2,3;-3,9;-2,1;-0,6;4,3;10,3;0,8;4,9;5,3;10,3;7,5;2,8;7,2;7,3;-2,4;0,5;10;12,2;2,5;1,9;4,3;-2,3;1,2;-5,9;-2,9;9;9,4;10,4;-2,1;-1,1;5,9;5,4;3,7;6;4,5;4,9;4,6;4,4;3,8;3,9;-13,8;4,2;5,5;4,8;4,2;4
Sierra Leone;-0,6;1,9;1,8;-1,6;1,7;-6,7;0,1;2,4;2,1;5;1,6;-8;-9,6;0,1;3,5;-10;-24,8;-17,6;-0,8;-8,1;3,8;18,2;26,4;9,3;6,6;4,5;4,2;8,1;5,4;3,2;5,3;6,3;15,2;20,7;4,6;-20,5;6,4;3,8;3,5;5,4;-3,1;2,7;4,2;4,5;4,5;4,6
Singapore;10,1;10,8;7,1;8,6;8,8;-0,6;1,3;10,8;11,3;10,2;9,8;6,7;6,6;11,5;11,1;7,2;7,5;8,3;-2,2;5,7;9;-1,1;3,9;4,5;9,8;7,4;9;9;1,9;0,1;14,5;6,3;4,5;4,8;3,9;3;3,2;4,3;3,4;0,7;-6;5;2,6;2,6;2,5;2,5
Slovak Republic;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;6,2;7,9;6,9;4,4;4,1;-0,1;1,2;3,3;4,5;5,5;5,3;6,6;8,5;10,8;5,6;-5,5;5,7;2,9;1,9;0,7;2,8;4,8;2,1;3;3,9;2,4;-7,1;6,9;4,8;3,8;2,8;2,5
Slovenia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;2,8;5,3;4,1;3,6;5;3,3;5,3;3,7;3,2;3,5;3;4,4;3,8;5,7;7;3,5;-7,5;1,3;0,9;-2,6;-1;2,8;2,2;3,1;4,8;4,1;2,4;-6,7;5,2;3,4;2,8;2,6;2,3
Solomon Islands;-2,7;-1,8;-1,7;3,9;0,2;-3,1;-0,2;8,4;1,3;4,3;2,2;6;12,7;4;8,1;10,1;1,6;-0,9;1,3;-0,5;-14,3;-8;-2,8;6,5;6,7;5,5;4,9;4,4;5,8;2,6;8,6;7,3;1,9;5,3;1;1,4;5,9;5,3;3,9;1,2;-5;4,5;3,9;3,7;3,1;3
Somalia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1,2;1,9;2,4;3,5;2,9;1,4;2,8;2,9;-1,5;2,9;3,2;3,4;3,6;3,9
South Africa;6,6;5,4;-0,4;-1,8;5,1;-1,2;0;2,1;4,2;2,4;-0,3;-1;-2,1;1,2;3,2;3,1;4,3;2,6;0,5;2,4;4,2;2,7;3,7;2,9;4,6;5,3;5,6;5,4;3,2;-1,5;3;3,3;2,2;2,5;1,8;1,2;0,4;1,4;0,8;0,2;-8;3;1,5;1,5;2,1;2,3
South Sudan, Republic of;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;-52,4;29,3;2,9;-0,2;-13,5;-5,8;-1,9;0,9;4,1;-2,3;0,8;3;5,5;5,4
Spain;1,2;-0,4;1,2;1,7;1,7;2,4;3,4;5,7;5,3;5;3,8;2,5;0,9;-1,3;2,3;4,1;2,4;3,9;4,5;4,7;5,1;3,9;2,7;3;3,1;3,7;4,1;3,6;0,9;-3,8;0,2;-0,8;-3;-1,4;1,4;3,8;3;2,9;2,4;2;-12,8;7,2;4,5;3,4;2,8;1,5
Sri Lanka;5,8;5,3;5,2;3,3;6,7;5;4,3;1,5;2,7;2,3;6,2;10,8;-3,1;7,5;8;6,1;12,2;10,3;-1,6;2,9;8,4;-1,9;3,7;5,9;5,4;6,2;7,7;6,8;6;3,5;8;8,4;9,1;3,4;5;5;4,5;3,6;3,3;2,3;-4,6;5,3;5;4,6;4,7;4,8
Sudan;2,5;6,3;4,1;-1,5;-5,6;-0,6;9,9;6,5;4,3;1,4;0,8;7;5,5;2,8;3,5;8,9;5,5;6,1;8,2;4,2;8,4;10,9;5,9;6,3;5,1;5,6;6,5;5,7;3,8;-2,8;3,9;-3,2;-17;2;4,7;1,9;3,5;0,7;-2,3;-2,5;-8,4;0,8;1,4;2,7;3,6;4,5
Suriname;-6,5;1,9;-6,3;-5,1;-3;-0,9;-2,4;-8,8;10,8;2,3;-1,5;-13,8;3,9;-2,2;-7;11,3;11,2;7;2,2;-0,9;-0,1;4,9;3,7;6,2;7,3;4,9;5,8;5,1;4,1;3;5,2;5,8;2,7;2,9;0,3;-3,4;-5,6;1,8;2,6;0,3;-13,1;1,5;2;2,8;3;2,1
Sweden;4,6;4,5;1,4;2,1;4,3;2,3;3;3,3;2,5;2,7;0,8;-1,1;-0,9;-1,8;3,9;3,9;1,6;3,1;4,3;4,2;4,8;1,4;2,2;2,3;4,3;2,9;4,7;3,4;-0,5;-4,3;6;3,2;-0,6;1,2;2,7;4,5;2,1;2,6;2;1,3;-4,7;3,5;2,9;2,4;2,1;2
Switzerland;5,1;1,6;-1,3;0,6;3,1;3,6;1,9;1,6;3,3;4,4;3,6;-0,8;-0,2;-0,1;1,3;0,5;0,5;2,3;2,9;1,7;4,1;1,3;0,2;0,1;2,6;3,2;4,1;4,1;2,1;-2,2;2,9;1,8;1;1,9;2,5;1,3;1,7;1,9;2,7;1,2;-5,3;3,6;2,1;1,4;1,9;1,3
Syria;10,5;8,5;2,6;1,6;-6,5;7,3;-4,8;1,3;12,7;-6,1;10,4;10,7;13,2;7,4;5,5;5,4;3;-1,1;5,6;-3,1;2,3;3,7;5,9;-2;6,9;6,2;5;5,7;4,5;5,9;3,4;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data
São Tomé and Príncipe;-1,1;-10,3;3,1;-3,9;-6;9,3;-5,8;-2,9;2;3,1;-2,2;1,2;0,7;1,1;2,2;2;1,5;1;2,5;2,5;0,4;2,4;2,4;6,6;3,8;7,1;9,1;3,3;8,2;2,4;6,7;4,4;3,1;4,8;6,5;3,8;4,2;3,9;3;1,3;-6,5;3;5,5;4,5;4,5;4,5
Taiwan Province of China;8;7,1;4,8;9;10;4,8;11,5;12,8;8;8,7;5,5;8,4;8,3;6,8;7,5;6,5;6,2;6,1;4,2;6,7;6,3;-1,4;5,5;4,2;7;5,4;5,8;6,9;0,8;-1,6;10,2;3,7;2,2;2,5;4,7;1,5;2,2;3,3;2,7;2,7;0;3,2;2,1;2,1;2,1;2,1
