day,date,watched,opened,count,ratio
3572020,2020-12-22,3957691,4097000,6,0.9659973151086161
3582020,2020-12-23,3455873,12393000,15,0.2788568546760268
3592020,2020-12-24,3535817,11057000,3,0.319780862801845
3602020,2020-12-25,3967065,20315000,11,0.1952776273689392
3612020,2020-12-26,4333993,24753000,7,0.17508960530036763
3622020,2020-12-27,6134102,9950000,7,0.6164926633165829
3632020,2020-12-28,12293290,25020000,8,0.49133852917665866
3642020,2020-12-29,1229787,2244000,6,0.5480334224598931
3652020,2020-12-30,8895190,12056000,11,0.7378226609157266
3662020,2020-12-31,6045208,11453000,2,0.527827468785471
12021,2021-01-01,12416483,14682000,8,0.8456942514643782
22021,2021-01-02,4530718,32602000,4,0.13897055395374516
32021,2021-01-03,3716382,10800000,1,0.34410944444444447
42021,2021-01-04,21132330,43211000,3,0.4890497789914605
52021,2021-01-05,5064053,12267000,2,0.4128191896959322
62021,2021-01-06,3649821,10801000,1,0.3379151004536617
72021,2021-01-07,10800398,10800000,1,1
82021,2021-01-08,3729950,32401000,3,0.11511836054442764
92021,2021-01-09,0,0,0,0
102021,2021-01-10,0,0,0,0
112021,2021-01-11,0,0,0,0
122021,2021-01-12,1708014,1902000,1,0.8980094637223974
132021,2021-01-13,0,0,0,0
142021,2021-01-14,3652391,10800000,1,0.33818435185185186
152021,2021-01-15,4253444,11384000,3,0.3736335207308503